model_name,dataset_name,accuracy,duration_seconds,confidence_interval_low,confidence_interval_high,number_of_executions,model
Anthropic: Claude 3.7 Sonnet,Operating Systems Security,100.0,2.74,95.47,100.0,3,Claude 3.7 Sonnet
Anthropic: Claude 3.5 Haiku,Operating Systems Security,95.06,1.91,87.98,98.06,3,Claude 3.5 Haiku
Google: Gemini 2.5 Pro,Operating Systems Security,100.0,35.84,95.47,100.0,3,Gemini 2.5 Pro
Google: Gemini 2.0 Flash,Operating Systems Security,96.3,1.42,89.67,98.73,3,Gemini 2.0 Flash
xAI: Grok 3 Beta,Operating Systems Security,96.3,3.53,89.67,98.73,3,Grok 3
xAI: Grok 3 Mini Beta,Operating Systems Security,96.3,10.77,89.67,98.73,3,Grok 3 Mini
Mistral Large 2411,Operating Systems Security,98.77,11.21,93.33,99.78,3,Mistral Large 2411
Mistral: Mistral Small 3.1 24B,Operating Systems Security,92.59,3.45,84.77,96.56,3,Mistral Small 3.1
OpenAI: GPT-4o,Malware,90.0,1.6,74.38,96.54,3,GPT-4o
OpenAI: GPT-4o-mini,Malware,80.0,1.55,62.69,90.49,3,GPT-4o Mini
Anthropic: Claude 3.7 Sonnet,Malware,100.0,2.54,88.65,100.0,3,Claude 3.7 Sonnet
Anthropic: Claude 3.5 Haiku,Malware,90.0,2.86,74.38,96.54,3,Claude 3.5 Haiku
Google: Gemini 2.5 Pro,Malware,100.0,45.22,88.65,100.0,3,Gemini 2.5 Pro
Google: Gemini 2.0 Flash,Malware,100.0,1.32,88.65,100.0,3,Gemini 2.0 Flash
xAI: Grok 3 Beta,Malware,90.0,4.22,74.38,96.54,3,Grok 3
xAI: Grok 3 Mini Beta,Malware,100.0,7.16,88.65,100.0,3,Grok 3 Mini
Mistral Large 2411,Malware,100.0,13.62,88.65,100.0,3,Mistral Large 2411
Mistral: Mistral Small 3.1 24B,Malware,100.0,1.25,88.65,100.0,3,Mistral Small 3.1
OpenAI: GPT-4o,Ctf,73.33,3.19,55.55,85.82,3,GPT-4o
OpenAI: GPT-4o-mini,Ctf,76.67,3.47,59.07,88.21,3,GPT-4o Mini
Anthropic: Claude 3.7 Sonnet,Ctf,76.67,3.18,59.07,88.21,3,Claude 3.7 Sonnet
Anthropic: Claude 3.5 Haiku,Ctf,70.0,1.96,52.12,83.34,3,Claude 3.5 Haiku
Google: Gemini 2.5 Pro,Ctf,96.67,47.68,83.33,99.41,3,Gemini 2.5 Pro
Google: Gemini 2.0 Flash,Ctf,90.0,1.28,74.38,96.54,3,Gemini 2.0 Flash
xAI: Grok 3 Beta,Ctf,86.67,9.39,70.32,94.69,3,Grok 3
xAI: Grok 3 Mini Beta,Ctf,96.67,30.18,83.33,99.41,3,Grok 3 Mini
